process_name,command_line
powershell.exe,Test-Connection -Count 2 db-75
powershell.exe,Test-Connection -Count 2 db-89
docker.exe,docker build -t auth-svc:59 .
powershell.exe,"powershell -nop -c ""Get-ChildItem -Recurse -Include *.kdbx,*.pem $env:USERPROFILE"""
docker.exe,docker build -t search:28 .
docker.exe,docker build -t postgres:5 .
docker.exe,docker build -t worker:5 .
docker.exe,docker build -t payments:27 .
docker.exe,docker build -t auth-svc:80 .
powershell.exe,Test-Connection -Count 2 db-68
docker.exe,docker build -t search:46 .
powershell.exe,Test-Connection -Count 2 db-78
powershell.exe,Test-Connection -Count 2 db-70
docker.exe,docker build -t payments:16 .
powershell.exe,Test-Connection -Count 2 db-94
powershell.exe,Test-Connection -Count 2 db-93
docker.exe,docker build -t auth-svc:42 .
type,type %USERPROFILE%\.aws\credentials
docker.exe,docker build -t redis:92 .
powershell.exe,Test-Connection -Count 2 db-85
docker.exe,docker build -t auth-svc:44 .
docker.exe,docker build -t api-gateway:85 .
docker.exe,docker build -t api-gateway:35 .
powershell.exe,Restart-Service -Name postgres
docker.exe,docker build -t worker:75 .
docker.exe,docker build -t payments:15 .
powershell.exe,Test-Connection -Count 2 db-53
powershell.exe,Restart-Service -Name payments
docker.exe,docker build -t auth-svc:52 .
sc.exe,sc query search
powershell.exe,Test-Connection -Count 2 db-13
docker.exe,docker build -t nginx:36 .
docker.exe,docker build -t worker:71 .
net.exe,net localgroup administrators # 9029
docker.exe,docker build -t auth-svc:84 .
docker.exe,docker build -t api-gateway:53 .
docker.exe,docker build -t search:35 .
docker.exe,docker build -t api-gateway:72 .
docker.exe,docker build -t nginx:76 .
powershell.exe,Test-Connection -Count 2 db-21
powershell.exe,Test-Connection -Count 2 db-23
docker.exe,docker build -t payments:31 .
docker.exe,docker build -t nginx:9 .
docker.exe,docker build -t worker:83 .
powershell.exe,Test-Connection -Count 2 db-98
tasklist.exe,tasklist /v /fo csv # 6776
docker.exe,docker build -t nginx:72 .
docker.exe,docker build -t worker:84 .
docker.exe,docker build -t postgres:28 .
docker.exe,docker build -t auth-svc:65 .
docker.exe,docker build -t search:71 .
powershell.exe,Test-Connection -Count 2 db-22
powershell.exe,"powershell -nop -c ""Clear-EventLog -LogName Security"""
powershell.exe,Test-Connection -Count 2 db-1
docker.exe,docker build -t worker:41 .
powershell.exe,Test-Connection -Count 2 db-20
docker.exe,docker build -t auth-svc:33 .
powershell.exe,Test-Connection -Count 2 db-71
powershell.exe,Test-Connection -Count 2 db-34
docker.exe,docker build -t nginx:19 .
docker.exe,docker build -t api-gateway:16 .
docker.exe,docker build -t payments:19 .
docker.exe,docker build -t auth-svc:20 .
docker.exe,docker build -t search:20 .
docker.exe,docker build -t nginx:81 .
powershell.exe,Test-Connection -Count 2 db-35
powershell.exe,"powershell -nop -c ""Get-ChildItem -Recurse -Include *.kdbx,*.pem $env:USERPROFILE"" # 1435"
powershell.exe,Test-Connection -Count 2 db-59
docker.exe,docker build -t postgres:47 .
docker.exe,docker build -t nginx:43 .
powershell.exe,Test-Connection -Count 2 db-91
docker.exe,docker build -t worker:31 .
docker.exe,docker build -t api-gateway:84 .
type,type %USERPROFILE%\.aws\credentials # 2094
powershell.exe,Test-Connection -Count 2 db-32
powershell.exe,Test-Connection -Count 2 db-6
docker.exe,docker build -t auth-svc:94 .
powershell.exe,Test-Connection -Count 2 db-88
powershell.exe,Test-Connection -Count 2 db-95
docker.exe,docker build -t postgres:11 .
powershell.exe,Test-Connection -Count 2 db-31
docker.exe,docker build -t api-gateway:56 .
docker.exe,docker build -t search:81 .
powershell.exe,Test-Connection -Count 2 db-25
docker.exe,docker build -t api-gateway:83 .
net.exe,net localgroup administrators # 4142
docker.exe,docker build -t payments:69 .
docker.exe,docker build -t redis:83 .
docker.exe,docker build -t search:66 .
docker.exe,docker build -t redis:3 .
docker.exe,docker build -t search:24 .
