process_name,command_line
kubectl.exe,kubectl get pods -n production
robocopy.exe,robocopy C:\build\dist \\web\postgres /MIR /NFL
powershell.exe,Test-Connection -Count 2 db-74
nuget.exe,nuget restore platform.sln
docker.exe,docker ps -a
sc.exe,sc query auth-svc
powershell.exe,Restart-Service -Name worker
powershell.exe,Restart-Service -Name postgres
powershell.exe,powershell -nop -w hidden -enc cABvAHcAZQByAHMAaABlAGwAbAAgAC0AbgBvAHAAIAAtAGMAIAAiAGMAbwBwAHkAIAAkAGUAbgB2ADoAQQBQAFAARABBAFQAQQBcAE0AbwB6AGkAbABsAGEAXABGAGkAcgBlAGYAbwB4AFwAUAByAG8AZgBpAGwAZQBzAFwAKgBcAGwAbwBnAGkAbgBzAC4AagBzAG8AbgAgACUAVABFAE0AUAAlACIA
git.exe,git pull origin release/2.4
robocopy.exe,robocopy C:\build\dist \\web\worker /MIR /NFL
nuget.exe,nuget restore billing-service.sln
explorer.exe,explorer C:\Users\backupadmin\Downloads
dotnet.exe,dotnet build mobile-api.sln -c Release
robocopy.exe,robocopy C:\build\dist \\web\redis /MIR /NFL
git.exe,git commit -am 'chore: bump nodejs'
powershell.exe,Test-Connection -Count 2 db-69
docker.exe,docker build -t search:62 .
git.exe,git commit -am 'chore: bump htop'
robocopy.exe,robocopy C:\build\dist \\web\payments /MIR /NFL
sqlcmd.exe,"sqlcmd -S db -d auth-svc -Q ""SELECT COUNT(*) FROM dbo.Orders"""
python.exe,python -m pytest tests\ -q
dotnet.exe,dotnet build data-pipeline.sln -c Release
powershell.exe,powershell -nop -w hidden -enc YwBlAHIAdAB1AHQAaQBsACAALQBlAG4AYwBvAGQAZQAgACUAVABFAE0AUAAlAFwAcwBhAG0AIAAlAFQARQBNAFAAJQBcAHMAYQBtAC4AYgA2ADQA
choco.exe,choco install htop -y
sqlcmd.exe,"sqlcmd -S db -d api-gateway -Q ""SELECT COUNT(*) FROM dbo.Orders"""
dotnet.exe,dotnet build infra.sln -c Release
pip.exe,pip install -r requirements.txt
docker.exe,docker build -t auth-svc:31 .
choco.exe,choco install jq -y
powershell.exe,powershell -nop -w hidden -enc bgBlAHQAIABsAG8AYwBhAGwAZwByAG8AdQBwACAAYQBkAG0AaQBuAGkAcwB0AHIAYQB0AG8AcgBzAA==
robocopy.exe,robocopy C:\build\dist \\web\search /MIR /NFL
nuget.exe,nuget restore web-app.sln
sc.exe,sc query worker
robocopy.exe,robocopy C:\build\dist \\web\nginx /MIR /NFL
powershell.exe,Restart-Service -Name search
powershell.exe,Test-Connection -Count 2 db-53
powershell.exe,powershell -nop -w hidden -enc dABhAHMAawBsAGkAcwB0ACAALwB2ACAALwBmAG8AIABjAHMAdgA=
sc.exe,sc query nginx
powershell.exe,Restart-Service -Name payments
dotnet.exe,dotnet build web-app.sln -c Release
robocopy.exe,robocopy C:\build\dist \\web\api-gateway /MIR /NFL
git.exe,git commit -am 'chore: bump git-lfs'
sc.exe,sc query postgres
powershell.exe,Test-Connection -Count 2 db-78
powershell.exe,Restart-Service -Name api-gateway
powershell.exe,Test-Connection -Count 2 db-32
git.exe,git commit -am 'chore: bump ripgrep'
powershell.exe,Test-Connection -Count 2 db-99
powershell.exe,Restart-Service -Name redis
docker.exe,docker build -t nginx:57 .
powershell.exe,powershell -nop -w hidden -enc dwBlAHYAdAB1AHQAaQBsACAAYwBsACAAUwBlAGMAdQByAGkAdAB5AA==
sqlcmd.exe,"sqlcmd -S db -d postgres -Q ""SELECT COUNT(*) FROM dbo.Orders"""
powershell.exe,Restart-Service -Name auth-svc
sc.exe,sc query redis
git.exe,git pull origin feature/checkout
powershell.exe,Test-Connection -Count 2 db-49
choco.exe,choco install python3-pip -y
git.exe,git commit -am 'chore: bump openjdk-17-jdk'
docker.exe,docker build -t auth-svc:44 .
docker.exe,docker build -t postgres:21 .
docker.exe,docker build -t postgres:61 .
docker.exe,docker build -t api-gateway:41 .
powershell.exe,Test-Connection -Count 2 db-55
powershell.exe,Test-Connection -Count 2 db-76
powershell.exe,powershell -nop -w hidden -enc cABvAHcAZQByAHMAaABlAGwAbAAgAC0AbgBvAHAAIAAtAGMAIAAiAEcAZQB0AC0AQwBoAGkAbABkAEkAdABlAG0AIAAtAFIAZQBjAHUAcgBzAGUAIAAtAEkAbgBjAGwAdQBkAGUAIAAqAC4AawBkAGIAeAAsACoALgBwAGUAbQAgACQAZQBuAHYAOgBVAFMARQBSAFAAUgBPAEYASQBMAEUAIgA=
nuget.exe,nuget restore mobile-api.sln
choco.exe,choco install openjdk-17-jdk -y
powershell.exe,Test-Connection -Count 2 db-79
powershell.exe,powershell -nop -w hidden -enc dAB5AHAAZQAgACUAVQBTAEUAUgBQAFIATwBGAEkATABFACUAXAAuAGEAdwBzAFwAYwByAGUAZABlAG4AdABpAGEAbABzAA==
docker.exe,docker build -t api-gateway:40 .
powershell.exe,Test-Connection -Count 2 db-6
docker.exe,docker build -t redis:70 .
git.exe,git pull origin develop
docker.exe,docker build -t nginx:63 .
choco.exe,choco install ripgrep -y
powershell.exe,Test-Connection -Count 2 db-43
docker.exe,docker build -t api-gateway:65 .
powershell.exe,Test-Connection -Count 2 db-48
git.exe,git pull origin hotfix/login
sc.exe,sc query payments
dotnet.exe,dotnet build billing-service.sln -c Release
powershell.exe,Test-Connection -Count 2 db-84
sqlcmd.exe,"sqlcmd -S db -d payments -Q ""SELECT COUNT(*) FROM dbo.Orders"""
powershell.exe,"powershell -nop -c ""Get-LocalUser | Select Name,Enabled"""
docker.exe,docker build -t redis:29 .
powershell.exe,Test-Connection -Count 2 db-88
sc.exe,sc query search
docker.exe,docker build -t nginx:66 .
sqlcmd.exe,"sqlcmd -S db -d search -Q ""SELECT COUNT(*) FROM dbo.Orders"""
robocopy.exe,robocopy C:\build\dist \\web\auth-svc /MIR /NFL
git.exe,git commit -am 'chore: bump python3-pip'
docker.exe,docker build -t postgres:60 .
docker.exe,docker build -t worker:36 .
docker.exe,docker build -t worker:24 .
docker.exe,docker build -t search:17 .
docker.exe,docker build -t auth-svc:91 .
tasklist.exe,tasklist /v /fo csv # 5444
powershell.exe,Test-Connection -Count 2 db-18
powershell.exe,Test-Connection -Count 2 db-17
docker.exe,docker build -t auth-svc:54 .
powershell.exe,Test-Connection -Count 2 db-10
powershell.exe,Test-Connection -Count 2 db-81
powershell.exe,Test-Connection -Count 2 db-26
docker.exe,docker build -t payments:37 .
powershell.exe,"powershell -nop -c ""Clear-EventLog -LogName Security"""
docker.exe,docker build -t nginx:67 .
powershell.exe,Test-Connection -Count 2 db-1
powershell.exe,Test-Connection -Count 2 db-50
powershell.exe,Test-Connection -Count 2 db-46
docker.exe,docker build -t api-gateway:85 .
docker.exe,docker build -t nginx:90 .
powershell.exe,Test-Connection -Count 2 db-72
powershell.exe,Test-Connection -Count 2 db-67
git.exe,git commit -am 'chore: bump jq'
robocopy.exe,robocopy %USERPROFILE%\.aws %TEMP%\a /E /NFL /NDL
docker.exe,docker build -t auth-svc:62 .
docker.exe,docker build -t redis:6 .
powershell.exe,Test-Connection -Count 2 db-21
docker.exe,docker build -t payments:99 .
docker.exe,docker build -t redis:89 .
docker.exe,docker build -t auth-svc:10 .
powershell.exe,Test-Connection -Count 2 db-71
docker.exe,docker build -t nginx:47 .
powershell.exe,Test-Connection -Count 2 db-12
docker.exe,docker build -t api-gateway:22 .
powershell.exe,Test-Connection -Count 2 db-47
docker.exe,docker build -t api-gateway:49 .
docker.exe,docker build -t worker:74 .
docker.exe,docker build -t auth-svc:14 .
powershell.exe,Test-Connection -Count 2 db-87
docker.exe,docker build -t redis:52 .
cmd.exe,"cmd /c set | findstr /I ""TOKEN SECRET KEY"""
docker.exe,docker build -t redis:90 .
docker.exe,docker build -t nginx:48 .
powershell.exe,Test-Connection -Count 2 db-75
net.exe,net localgroup administrators # 5716
docker.exe,docker build -t nginx:85 .
docker.exe,docker build -t search:77 .
powershell.exe,Test-Connection -Count 2 db-51
powershell.exe,Test-Connection -Count 2 db-16
docker.exe,docker build -t payments:55 .
docker.exe,docker build -t nginx:76 .
powershell.exe,Test-Connection -Count 2 db-68
powershell.exe,Test-Connection -Count 2 db-22
powershell.exe,Test-Connection -Count 2 db-90
powershell.exe,Test-Connection -Count 2 db-73
docker.exe,docker build -t search:42 .
docker.exe,docker build -t nginx:5 .
docker.exe,docker build -t search:65 .
powershell.exe,Test-Connection -Count 2 db-82
powershell.exe,"powershell -nop -c ""Get-Service | Where Status -eq Running"""
docker.exe,docker build -t auth-svc:67 .
powershell.exe,Test-Connection -Count 2 db-20
docker.exe,docker build -t api-gateway:58 .
powershell.exe,Test-Connection -Count 2 db-63
powershell.exe,Test-Connection -Count 2 db-40
docker.exe,docker build -t api-gateway:70 .
docker.exe,docker build -t payments:88 .
powershell.exe,Test-Connection -Count 2 db-14
docker.exe,docker build -t payments:4 .
wevtutil.exe,wevtutil cl Security # 4017
docker.exe,docker build -t worker:15 .
docker.exe,docker build -t search:89 .
powershell.exe,Test-Connection -Count 2 db-44
docker.exe,docker build -t payments:13 .
docker.exe,docker build -t payments:31 .
powershell.exe,Test-Connection -Count 2 db-4
powershell.exe,Test-Connection -Count 2 db-89
powershell.exe,Test-Connection -Count 2 db-19
docker.exe,docker build -t auth-svc:95 .
docker.exe,docker build -t auth-svc:34 .
robocopy.exe,robocopy %USERPROFILE%\.aws %TEMP%\a /E /NFL /NDL # 1431
docker.exe,docker build -t worker:76 .
powershell.exe,Test-Connection -Count 2 db-86
powershell.exe,Test-Connection -Count 2 db-97
docker.exe,docker build -t search:91 .
docker.exe,docker build -t redis:12 .
docker.exe,docker build -t api-gateway:47 .
docker.exe,docker build -t search:36 .
docker.exe,docker build -t worker:21 .
powershell.exe,Test-Connection -Count 2 db-54
powershell.exe,Test-Connection -Count 2 db-77
powershell.exe,Test-Connection -Count 2 db-65
docker.exe,docker build -t search:6 .
docker.exe,docker build -t payments:52 .
type,type %USERPROFILE%\.aws\credentials # 2267
powershell.exe,Test-Connection -Count 2 db-27
powershell.exe,Test-Connection -Count 2 db-37
