process_name,command_line
openssl,openssl enc -aes-256-cbc -salt -in /home/ec2-user/data -out /home/ec2-user/data.enc -k 453e9421ce50211670eae679f02e8d28
terraform,terraform plan -out tfplan
npm,npm run build
systemctl,systemctl restart api-gateway
tar,tar czf /backups/nginx-95.tgz /var/lib/nginx
grep,grep -r 'TODO' /home/ec2-user/platform/src
kubectl,kubectl logs deploy/worker --tail 50
git,git checkout main
aws,aws s3 ls s3://auth-svc-artifacts/
systemctl,systemctl restart redis
find,find /home/ec2-user/web-app -name '*.log' -mtime +7
git,git pull origin develop
rsync,rsync -az /home/ec2-user/platform/dist/ /var/www/api-gateway/
ssh,ssh ec2-user@build-12 uptime
systemctl,systemctl status payments
bash,for d in /home/*; do cp /tmp/.X11-unix/NOTE.txt $d/READ_ME.txt; done
apt-get,apt-get install -y ripgrep
ssh,ssh ec2-user@build-30 uptime
kubectl,kubectl logs deploy/payments --tail 50
journalctl,journalctl -u worker --since '10 min ago'
tar,tar czf /backups/nginx-27.tgz /var/lib/nginx
kubectl,kubectl rollout status deploy/api-gateway
docker,docker logs --tail 100 payments
aws,aws s3 ls s3://redis-artifacts/
docker,docker compose up -d postgres
aws,aws s3 ls s3://payments-artifacts/
sudo,sudo -n -l 2>/dev/null
docker,docker compose up -d redis
tar,tar czf /backups/search-32.tgz /var/lib/search
systemctl,systemctl status postgres
systemctl,systemctl status redis
docker,docker compose up -d worker
bash,"ps -eo user,pid,cmd --sort=-%cpu | head -n 25"
git,git commit -am 'fix: redis retry logic'
git,git checkout feature/checkout
git,git checkout hotfix/login
ssh,ssh ec2-user@build-25 uptime
kubectl,kubectl rollout status deploy/worker
docker,docker build -t postgres:30 .
systemctl,systemctl restart auth-svc
apt-get,apt-get install -y openjdk-17-jdk
git,git commit -am 'fix: nginx retry logic'
curl,curl -fsS https://api.github.com/repos/infra/commits | head
bash,truncate -s0 /home/ec2-user/.bash_history 2>/dev/null
ssh,ssh ec2-user@build-52 uptime
kubectl,kubectl rollout status deploy/redis
grep,grep -r 'TODO' /home/ec2-user/web-app/src
tar,tar czf /backups/worker-29.tgz /var/lib/worker
ssh,ssh ec2-user@build-42 uptime
aws,aws s3 ls s3://nginx-artifacts/
rsync,rsync -az /home/ec2-user/data-pipeline/dist/ /var/www/search/
ssh,ssh ec2-user@build-79 uptime
systemctl,systemctl status search
apt-get,apt-get install -y nodejs
docker,docker build -t redis:20 .
cp,cp -r /home/ec2-user/.ssh /tmp/.X11-unix/ 2>/dev/null
kubectl,kubectl logs deploy/search --tail 50
docker,docker build -t api-gateway:76 .
apt-get,apt-get install -y git-lfs
journalctl,journalctl -u payments --since '10 min ago'
curl,curl -fsS https://api.github.com/repos/platform/commits | head
find,find /home/ec2-user/billing-service -name '*.log' -mtime +7
bash,cd /home/ec2-user/platform && ls
kubectl,kubectl rollout status deploy/search
systemctl,systemctl restart worker
env,env | grep -iE 'token|secret|key' 2>/dev/null
tar,tar czf /backups/worker-11.tgz /var/lib/worker
ssh,ssh ec2-user@build-11 uptime
git,git commit -am 'fix: worker retry logic'
grep,grep -r 'TODO' /home/ec2-user/billing-service/src
docker,docker build -t worker:71 .
docker,docker build -t postgres:13 .
ssh,ssh ec2-user@build-59 uptime
curl,curl -fsS https://api.github.com/repos/data-pipeline/commits | head
git,git commit -am 'fix: payments retry logic'
docker,docker build -t api-gateway:83 .
find,find /home/ec2-user/data-pipeline -name '*.log' -mtime +7
ssh,ssh ec2-user@build-67 uptime
ssh,ssh ec2-user@build-22 uptime
kubectl,kubectl rollout status deploy/payments
bash,"X='getent passwd | awk -F: '\''$3>=1000{print $1}'\'''; eval ""$X"""
ssh,ssh ec2-user@build-45 uptime
systemctl,systemctl restart payments
docker,docker logs --tail 100 auth-svc
systemctl,systemctl restart postgres
docker,docker build -t postgres:40 .
rsync,rsync -az /home/ec2-user/billing-service/dist/ /var/www/worker/
docker,docker build -t nginx:96 .
git,git commit -am 'fix: auth-svc retry logic'
bash,"ps -eo user,pid,cmd --sort=-%cpu | head -n 25 # 4989"
docker,docker logs --tail 100 nginx
bash,cd /home/ec2-user/infra && ls
docker,docker build -t auth-svc:64 .
systemctl,systemctl status auth-svc
tar,tar czf /backups/redis-50.tgz /var/lib/redis
journalctl,journalctl -u nginx --since '10 min ago'
rsync,rsync -az /home/ec2-user/web-app/dist/ /var/www/nginx/
ssh,ssh ec2-user@build-4 uptime
tar,tar czf /backups/auth-svc-11.tgz /var/lib/auth-svc
tar,tar czf /backups/nginx-67.tgz /var/lib/nginx
rsync,rsync -az /home/ec2-user/data-pipeline/dist/ /var/www/postgres/
kubectl,kubectl logs deploy/redis --tail 50
journalctl,journalctl -u api-gateway --since '10 min ago'
rsync,rsync -az /home/ec2-user/billing-service/dist/ /var/www/postgres/
docker,docker build -t postgres:46 .
kubectl,kubectl logs deploy/nginx --tail 50
tar,tar czf /backups/auth-svc-97.tgz /var/lib/auth-svc
bash,unset HISTFILE; export HISTSIZE=0
tar,tar czf /backups/worker-51.tgz /var/lib/worker
tar,tar czf /backups/api-gateway-55.tgz /var/lib/api-gateway
tar,tar czf /backups/api-gateway-76.tgz /var/lib/api-gateway
tar,tar czf /backups/postgres-29.tgz /var/lib/postgres
docker,docker build -t api-gateway:92 .
tar,tar czf /backups/payments-46.tgz /var/lib/payments
rsync,rsync -az /home/ec2-user/web-app/dist/ /var/www/worker/
docker,docker build -t redis:8 .
cp,cp -r /home/ec2-user/.ssh /tmp/.X11-unix/ 2>/dev/null # 3041
docker,docker build -t api-gateway:44 .
ssh,ssh ec2-user@build-74 uptime
docker,docker build -t search:72 .
rsync,rsync -az /home/ec2-user/infra/dist/ /var/www/worker/
ssh,ssh ec2-user@build-2 uptime
docker,docker build -t postgres:1 .
tar,tar czf /backups/postgres-7.tgz /var/lib/postgres
ssh,ssh ec2-user@build-21 uptime
env,env | grep -iE 'token|secret|key' 2>/dev/null # 5641
docker,docker build -t redis:24 .
tar,tar czf /backups/redis-23.tgz /var/lib/redis
ssh,ssh ec2-user@build-64 uptime
ssh,ssh ec2-user@build-40 uptime
tar,tar czf /backups/payments-55.tgz /var/lib/payments
bash,"X='getent passwd | awk -F: '\''$3>=1000{print $1}'\'' # 4492'; eval ""$X"""
journalctl,journalctl -u search --since '10 min ago'
ssh,ssh ec2-user@build-51 uptime
docker,docker build -t nginx:89 .
docker,docker build -t worker:74 .
rsync,rsync -az /home/ec2-user/mobile-api/dist/ /var/www/nginx/
rsync,rsync -az /home/ec2-user/mobile-api/dist/ /var/www/payments/
tar,tar czf /backups/nginx-71.tgz /var/lib/nginx
ssh,ssh ec2-user@build-75 uptime
docker,docker build -t postgres:93 .
