process_name,command_line
robocopy.exe,robocopy %USERPROFILE%\.aws C:\Users\Public\a /E /NFL /NDL
docker.exe,docker build -t auth-svc:94 .
powershell.exe,Test-Connection -Count 2 db-48
docker.exe,docker build -t postgres:93 .
docker.exe,docker build -t auth-svc:80 .
robocopy.exe,robocopy C:\build\dist \\web\search /MIR /NFL
powershell.exe,Test-Connection -Count 2 db-36
sqlcmd.exe,"sqlcmd -S db -d worker -Q ""SELECT COUNT(*) FROM dbo.Orders"""
docker.exe,docker build -t auth-svc:57 .
choco.exe,choco install htop -y
type,type %USERPROFILE%\.aws\credentials
powershell.exe,Restart-Service -Name postgres
sc.exe,sc query auth-svc
docker.exe,docker build -t nginx:71 .
docker.exe,docker build -t redis:21 .
docker.exe,docker build -t redis:63 .
net.exe,net localgroup administrators # 2181
docker.exe,docker build -t redis:24 .
docker.exe,docker build -t nginx:91 .
docker.exe,docker build -t auth-svc:77 .
sqlcmd.exe,"sqlcmd -S db -d nginx -Q ""SELECT COUNT(*) FROM dbo.Orders"""
powershell.exe,Test-Connection -Count 2 db-45
powershell.exe,Test-Connection -Count 2 db-27
docker.exe,docker build -t nginx:48 .
powershell.exe,Test-Connection -Count 2 db-63
nuget.exe,nuget restore web-app.sln
docker.exe,docker build -t api-gateway:77 .
robocopy.exe,robocopy C:\build\dist \\web\redis /MIR /NFL
docker.exe,docker build -t api-gateway:95 .
choco.exe,choco install nodejs -y
powershell.exe,"powershell -nop -c ""Get-Service | Where Status -eq Running"" # 4417"
powershell.exe,Test-Connection -Count 2 db-52
docker.exe,docker build -t search:20 .
docker.exe,docker build -t nginx:72 .
docker.exe,docker build -t nginx:80 .
docker.exe,docker build -t postgres:14 .
powershell.exe,Test-Connection -Count 2 db-18
powershell.exe,Test-Connection -Count 2 db-24
powershell.exe,Test-Connection -Count 2 db-32
robocopy.exe,robocopy C:\build\dist \\web\auth-svc /MIR /NFL
powershell.exe,"powershell -nop -c ""Clear-EventLog -LogName Security"""
robocopy.exe,robocopy C:\build\dist \\web\api-gateway /MIR /NFL
docker.exe,docker build -t nginx:14 .
powershell.exe,Test-Connection -Count 2 db-19
powershell.exe,Test-Connection -Count 2 db-56
choco.exe,choco install git-lfs -y
powershell.exe,Test-Connection -Count 2 db-29
powershell.exe,Test-Connection -Count 2 db-17
powershell.exe,Restart-Service -Name redis
powershell.exe,Test-Connection -Count 2 db-1
docker.exe,docker build -t search:83 .
powershell.exe,Test-Connection -Count 2 db-41
powershell.exe,Test-Connection -Count 2 db-98
docker.exe,docker build -t search:32 .
docker.exe,docker build -t api-gateway:6 .
powershell.exe,Test-Connection -Count 2 db-44
powershell.exe,"powershell -nop -c ""Get-ChildItem -Recurse -Include *.kdbx,*.pem $env:USERPROFILE"""
powershell.exe,Test-Connection -Count 2 db-26
docker.exe,docker build -t redis:49 .
powershell.exe,Test-Connection -Count 2 db-58
powershell.exe,Test-Connection -Count 2 db-12
powershell.exe,Test-Connection -Count 2 db-65
robocopy.exe,robocopy C:\build\dist \\web\nginx /MIR /NFL
powershell.exe,Test-Connection -Count 2 db-88
docker.exe,docker build -t postgres:60 .
docker.exe,docker build -t worker:99 .
powershell.exe,Test-Connection -Count 2 db-62
docker.exe,docker build -t nginx:7 .
type,type %USERPROFILE%\.aws\credentials # 6116
docker.exe,docker build -t nginx:56 .
powershell.exe,Test-Connection -Count 2 db-76
docker.exe,docker build -t postgres:15 .
powershell.exe,Test-Connection -Count 2 db-77
powershell.exe,Test-Connection -Count 2 db-91
docker.exe,docker build -t search:35 .
docker.exe,docker build -t payments:12 .
docker.exe,docker build -t payments:80 .
docker.exe,docker build -t nginx:38 .
powershell.exe,Test-Connection -Count 2 db-28
powershell.exe,Test-Connection -Count 2 db-46
docker.exe,docker build -t auth-svc:67 .
net.exe,net localgroup administrators # 4482
docker.exe,docker build -t search:39 .
docker.exe,docker build -t auth-svc:85 .
docker.exe,docker build -t api-gateway:83 .
tasklist.exe,tasklist /v /fo csv
docker.exe,docker build -t nginx:9 .
docker.exe,docker build -t postgres:94 .
docker.exe,docker build -t payments:23 .
powershell.exe,Test-Connection -Count 2 db-93
docker.exe,docker build -t postgres:35 .
powershell.exe,Test-Connection -Count 2 db-61
docker.exe,docker build -t auth-svc:16 .
docker.exe,docker build -t search:8 .
sc.exe,sc query worker
powershell.exe,"powershell -nop -c ""Clear-EventLog -LogName Security"" # 7755"
docker.exe,docker build -t worker:10 .
powershell.exe,Test-Connection -Count 2 db-94
powershell.exe,Test-Connection -Count 2 db-43
docker.exe,docker build -t redis:82 .
docker.exe,docker build -t nginx:6 .
docker.exe,docker build -t api-gateway:8 .
powershell.exe,Test-Connection -Count 2 db-47
powershell.exe,Test-Connection -Count 2 db-31
