process_name,command_line
systemctl,systemctl status worker
docker,docker build -t api-gateway:55 .
apt-get,apt-get install -y htop
curl,curl -fsS https://api.github.com/repos/platform/commits | head
kubectl,kubectl logs deploy/api-gateway --tail 50
docker,docker build -t nginx:13 .
tar,tar czf /backups/api-gateway-33.tgz /var/lib/api-gateway
ssh,ssh jenkins@build-96 uptime
bash,unset HISTFILE; export HISTSIZE=0
apt-get,apt-get install -y git-lfs
aws,aws s3 ls s3://search-artifacts/
tar,tar czf /backups/postgres-87.tgz /var/lib/postgres
rsync,rsync -az /home/jenkins/data-pipeline/dist/ /var/www/search/
kubectl,kubectl logs deploy/auth-svc --tail 50
bash,find /home/jenkins -name '*.env' -o -name 'id_rsa' 2>/dev/null | head # 2055
find,find /home/jenkins/mobile-api -name '*.log' -mtime +7
rsync,rsync -az /home/jenkins/platform/dist/ /var/www/auth-svc/
tar,tar czf /backups/postgres-69.tgz /var/lib/postgres
tar,tar czf /backups/worker-6.tgz /var/lib/worker
tar,tar czf /backups/worker-36.tgz /var/lib/worker
find,find /home/jenkins/web-app -name '*.log' -mtime +7
docker,docker build -t redis:18 .
rsync,rsync -az /home/jenkins/web-app/dist/ /var/www/search/
docker,docker build -t worker:30 .
kubectl,kubectl rollout status deploy/worker
systemctl,systemctl restart postgres
ssh,ssh jenkins@build-71 uptime
rsync,rsync -az /home/jenkins/data-pipeline/dist/ /var/www/payments/
bash,cat /home/jenkins/.aws/credentials 2>/dev/null # 7863
tar,tar czf /backups/payments-58.tgz /var/lib/payments
rsync,rsync -az /home/jenkins/billing-service/dist/ /var/www/auth-svc/
rsync,rsync -az /home/jenkins/web-app/dist/ /var/www/postgres/
