process_name,command_line,label
tar,tar czf /backups/api-gateway-81.tgz /var/lib/api-gateway,benign
rsync,rsync -az /home/app/web-app/dist/ /var/www/api-gateway/,benign
journalctl,journalctl -u postgres --since '10 min ago',benign
docker,docker logs --tail 100 auth-svc,benign
apt-get,apt-get install -y openjdk-17-jdk,benign
find,find /home/app/data-pipeline -name '*.log' -mtime +7,benign
kubectl,kubectl logs deploy/payments --tail 50,benign
tar,tar czf /backups/worker-55.tgz /var/lib/worker,benign
ssh,ssh app@build-58 uptime,benign
apt-get,apt-get install -y htop,benign
journalctl,journalctl -u auth-svc --since '10 min ago',benign
bash,unset HISTFILE; export HISTSIZE=0,malicious
kubectl,kubectl rollout status deploy/nginx,benign
systemctl,systemctl status auth-svc,benign
ssh,ssh app@build-90 uptime,benign
kubectl,kubectl logs deploy/postgres --tail 50,benign
journalctl,journalctl -u payments --since '10 min ago',benign
ssh,ssh app@build-79 uptime,benign
kubectl,kubectl logs deploy/nginx --tail 50,benign
bash,find /home/app -name '*.env' -o -name 'id_rsa' 2>/dev/null | head # 9574,malicious
docker,docker build -t auth-svc:66 .,benign
kubectl,kubectl logs deploy/search --tail 50,benign
ssh,ssh app@build-68 uptime,benign
kubectl,kubectl rollout status deploy/api-gateway,benign
docker,docker build -t postgres:6 .,benign
bash,cd /home/app/platform && ls,benign
bash,cd /home/app/mobile-api && ls,benign
env,env | grep -iE 'token|secret|key' 2>/dev/null # 7360,malicious
ssh,ssh app@build-14 uptime,benign
docker,docker compose up -d worker,benign
docker,docker logs --tail 100 payments,benign
tar,tar czf /backups/search-88.tgz /var/lib/search,benign
rsync,rsync -az /home/app/billing-service/dist/ /var/www/worker/,benign
journalctl,journalctl -u nginx --since '10 min ago',benign
docker,docker build -t postgres:87 .,benign
tar,tar czf /backups/redis-86.tgz /var/lib/redis,benign
tar,tar czf /backups/worker-40.tgz /var/lib/worker,benign
find,find /home/app/billing-service -name '*.log' -mtime +7,benign
rsync,rsync -az /home/app/infra/dist/ /var/www/postgres/,benign
tar,tar czf /backups/search-90.tgz /var/lib/search,benign
docker,docker compose up -d payments,benign
sudo,sudo -n -l 2>/dev/null # 4031,malicious
ssh,ssh app@build-72 uptime,benign
git,git pull origin hotfix/login,benign
docker,docker build -t nginx:41 .,benign
tar,tar czf /backups/search-49.tgz /var/lib/search,benign
tar,tar czf /backups/payments-50.tgz /var/lib/payments,benign
kubectl,kubectl logs deploy/worker --tail 50,benign
ssh,ssh app@build-74 uptime,benign
rsync,rsync -az /home/app/platform/dist/ /var/www/auth-svc/,benign
systemctl,systemctl restart payments,benign
docker,docker build -t auth-svc:33 .,benign
rsync,rsync -az /home/app/mobile-api/dist/ /var/www/postgres/,benign
tar,tar czf /backups/payments-63.tgz /var/lib/payments,benign
kubectl,kubectl logs deploy/api-gateway --tail 50,benign
ss,ss -tnp 2>/dev/null | head -n 40,malicious
tar,tar czf /backups/auth-svc-61.tgz /var/lib/auth-svc,benign
rsync,rsync -az /home/app/mobile-api/dist/ /var/www/payments/,benign
docker,docker build -t redis:76 .,benign
tar,tar czf /backups/worker-56.tgz /var/lib/worker,benign
systemctl,systemctl status api-gateway,benign
ssh,ssh app@build-37 uptime,benign
tar,tar czf /backups/search-66.tgz /var/lib/search,benign
systemctl,systemctl status postgres,benign
tar,tar czf /backups/search-73.tgz /var/lib/search,benign
docker,docker build -t postgres:36 .,benign
docker,docker build -t payments:64 .,benign
tar,tar czf /backups/redis-56.tgz /var/lib/redis,benign
docker,docker build -t search:3 .,benign
ssh,ssh app@build-8 uptime,benign
bash,unset HISTFILE; export HISTSIZE=0 # 4340,malicious
