process_name,command_line,label
rsync,rsync -az /home/ec2-user/web-app/dist/ /var/www/worker/,benign
docker,docker build -t redis:8 .,benign
cp,cp -r /home/ec2-user/.ssh /tmp/.X11-unix/ 2>/dev/null # 3041,malicious
docker,docker build -t api-gateway:44 .,benign
ssh,ssh ec2-user@build-74 uptime,benign
docker,docker build -t search:72 .,benign
rsync,rsync -az /home/ec2-user/infra/dist/ /var/www/worker/,benign
ssh,ssh ec2-user@build-2 uptime,benign
docker,docker build -t postgres:1 .,benign
tar,tar czf /backups/postgres-7.tgz /var/lib/postgres,benign
ssh,ssh ec2-user@build-21 uptime,benign
env,env | grep -iE 'token|secret|key' 2>/dev/null # 5641,malicious
docker,docker build -t redis:24 .,benign
tar,tar czf /backups/redis-23.tgz /var/lib/redis,benign
ssh,ssh ec2-user@build-64 uptime,benign
ssh,ssh ec2-user@build-40 uptime,benign
tar,tar czf /backups/payments-55.tgz /var/lib/payments,benign
bash,"X='getent passwd | awk -F: '\''$3>=1000{print $1}'\'' # 4492'; eval ""$X""",malicious
journalctl,journalctl -u search --since '10 min ago',benign
ssh,ssh ec2-user@build-51 uptime,benign
docker,docker build -t nginx:89 .,benign
docker,docker build -t worker:74 .,benign
rsync,rsync -az /home/ec2-user/mobile-api/dist/ /var/www/nginx/,benign
rsync,rsync -az /home/ec2-user/mobile-api/dist/ /var/www/payments/,benign
tar,tar czf /backups/nginx-71.tgz /var/lib/nginx,benign
ssh,ssh ec2-user@build-75 uptime,benign
docker,docker build -t postgres:93 .,benign
