process_name,command_line,label
tar,tar czf /backups/auth-svc-15.tgz /var/lib/auth-svc,benign
curl,curl -fsS https://api.github.com/repos/web-app/commits | head,benign
curl,curl -fsS https://api.github.com/repos/infra/commits | head,benign
git,git commit -am 'fix: worker retry logic',benign
kubectl,kubectl logs deploy/worker --tail 50,benign
rsync,rsync -az /home/jenkins/billing-service/dist/ /var/www/search/,benign
docker,docker build -t api-gateway:57 .,benign
ssh,ssh jenkins@build-25 uptime,benign
rsync,rsync -az /home/jenkins/web-app/dist/ /var/www/api-gateway/,benign
systemctl,systemctl restart auth-svc,benign
docker,docker logs --tail 100 payments,benign
systemctl,systemctl status search,benign
tar,tar czf /backups/worker-59.tgz /var/lib/worker,benign
bash,cat /home/jenkins/.aws/credentials 2>/dev/null # 5586,malicious
docker,docker build -t auth-svc:54 .,benign
systemctl,systemctl restart search,benign
kubectl,kubectl rollout status deploy/auth-svc,benign
docker,docker logs --tail 100 nginx,benign
tar,tar czf /backups/auth-svc-92.tgz /var/lib/auth-svc,benign
docker,docker compose up -d worker,benign
docker,docker build -t worker:3 .,benign
ssh,ssh jenkins@build-23 uptime,benign
git,git commit -am 'fix: redis retry logic',benign
kubectl,kubectl logs deploy/postgres --tail 50,benign
sudo,sudo -n -l 2>/dev/null # 1215,malicious
ssh,ssh jenkins@build-58 uptime,benign
journalctl,journalctl -u redis --since '10 min ago',benign
ssh,ssh jenkins@build-17 uptime,benign
git,git pull origin develop,benign
systemctl,systemctl status postgres,benign
ssh,ssh jenkins@build-59 uptime,benign
systemctl,systemctl status redis,benign
tar,tar czf /backups/search-14.tgz /var/lib/search,benign
apt-get,apt-get install -y nodejs,benign
bash,cd /home/jenkins/data-pipeline && ls,benign
kubectl,kubectl logs deploy/nginx --tail 50,benign
rsync,rsync -az /home/jenkins/web-app/dist/ /var/www/auth-svc/,benign
tar,tar czf /backups/search-63.tgz /var/lib/search,benign
curl,curl -fsS https://api.github.com/repos/data-pipeline/commits | head,benign
bash,"ps -eo user,pid,cmd --sort=-%cpu | head -n 25 # 8808",malicious
find,find /home/jenkins/platform -name '*.log' -mtime +7,benign
ssh,ssh jenkins@build-2 uptime,benign
systemctl,systemctl status worker,benign
docker,docker build -t api-gateway:55 .,benign
apt-get,apt-get install -y htop,benign
curl,curl -fsS https://api.github.com/repos/platform/commits | head,benign
kubectl,kubectl logs deploy/api-gateway --tail 50,benign
docker,docker build -t nginx:13 .,benign
tar,tar czf /backups/api-gateway-33.tgz /var/lib/api-gateway,benign
ssh,ssh jenkins@build-96 uptime,benign
bash,unset HISTFILE; export HISTSIZE=0,malicious
apt-get,apt-get install -y git-lfs,benign
aws,aws s3 ls s3://search-artifacts/,benign
tar,tar czf /backups/postgres-87.tgz /var/lib/postgres,benign
rsync,rsync -az /home/jenkins/data-pipeline/dist/ /var/www/search/,benign
kubectl,kubectl logs deploy/auth-svc --tail 50,benign
bash,find /home/jenkins -name '*.env' -o -name 'id_rsa' 2>/dev/null | head # 2055,malicious
find,find /home/jenkins/mobile-api -name '*.log' -mtime +7,benign
rsync,rsync -az /home/jenkins/platform/dist/ /var/www/auth-svc/,benign
tar,tar czf /backups/postgres-69.tgz /var/lib/postgres,benign
tar,tar czf /backups/worker-6.tgz /var/lib/worker,benign
tar,tar czf /backups/worker-36.tgz /var/lib/worker,benign
find,find /home/jenkins/web-app -name '*.log' -mtime +7,benign
docker,docker build -t redis:18 .,benign
rsync,rsync -az /home/jenkins/web-app/dist/ /var/www/search/,benign
docker,docker build -t worker:30 .,benign
kubectl,kubectl rollout status deploy/worker,benign
systemctl,systemctl restart postgres,benign
ssh,ssh jenkins@build-71 uptime,benign
rsync,rsync -az /home/jenkins/data-pipeline/dist/ /var/www/payments/,benign
bash,cat /home/jenkins/.aws/credentials 2>/dev/null # 7863,malicious
tar,tar czf /backups/payments-58.tgz /var/lib/payments,benign
rsync,rsync -az /home/jenkins/billing-service/dist/ /var/www/auth-svc/,benign
rsync,rsync -az /home/jenkins/web-app/dist/ /var/www/postgres/,benign
